subscription_id,user_id,plan,billing_cycle,mrr,start_date,status,churned_date,churn_reason,plan_upgraded_to,upgrade_date
SUB_0000001,USR_0000002,growth,monthly,36.0,2024-04-25,active,NULL,NULL,NULL,NULL
SUB_0000002,USR_0000003,growth,monthly,36.0,2024-04-14,active,NULL,NULL,NULL,NULL
SUB_0000003,USR_0000007,enterprise,monthly,96.0,2024-06-04,active,NULL,NULL,NULL,NULL
SUB_0000004,USR_0000009,enterprise,annual,81.6,2024-02-10,active,NULL,NULL,NULL,NULL
SUB_0000005,USR_0000025,growth,monthly,36.0,2024-07-22,active,NULL,NULL,NULL,NULL
SUB_0000006,USR_0000028,enterprise,monthly,96.0,2024-05-04,active,NULL,NULL,NULL,NULL
SUB_0000007,USR_0000048,enterprise,monthly,96.0,2024-03-08,active,NULL,NULL,NULL,NULL
SUB_0000008,USR_0000049,starter,monthly,12.0,2024-07-08,churned,2024-11-04,no_longer_needed,NULL,NULL
SUB_0000009,USR_0000052,starter,monthly,12.0,2024-07-10,active,NULL,NULL,NULL,NULL
SUB_0000010,USR_0000053,growth,monthly,36.0,2024-06-02,active,NULL,NULL,NULL,NULL
SUB_0000011,USR_0000054,enterprise,annual,81.6,2024-01-27,active,NULL,NULL,NULL,NULL
SUB_0000012,USR_0000056,enterprise,monthly,96.0,2024-04-08,active,NULL,NULL,NULL,NULL
SUB_0000013,USR_0000059,starter,annual,10.2,2024-05-16,active,NULL,NULL,NULL,NULL
SUB_0000014,USR_0000066,growth,monthly,36.0,2024-07-12,active,NULL,NULL,NULL,NULL
SUB_0000015,USR_0000069,starter,annual,10.2,2024-07-04,active,NULL,NULL,NULL,NULL
SUB_0000016,USR_0000071,starter,monthly,12.0,2024-07-07,active,NULL,NULL,NULL,NULL
SUB_0000017,USR_0000083,enterprise,monthly,96.0,2024-05-12,active,NULL,NULL,NULL,NULL
SUB_0000018,USR_0000100,starter,annual,10.2,2024-07-03,active,NULL,NULL,NULL,NULL
SUB_0000019,USR_0000106,enterprise,monthly,96.0,2024-03-30,active,NULL,NULL,NULL,NULL
SUB_0000020,USR_0000112,growth,annual,30.6,2024-07-02,active,NULL,NULL,NULL,NULL
SUB_0000021,USR_0000119,starter,annual,10.2,2024-07-22,active,NULL,NULL,NULL,NULL
SUB_0000022,USR_0000124,starter,monthly,12.0,2024-05-15,churned,2024-08-26,missing_features,NULL,NULL
SUB_0000023,USR_0000132,enterprise,monthly,96.0,2024-06-15,active,NULL,NULL,NULL,NULL
SUB_0000024,USR_0000133,starter,monthly,12.0,2024-03-15,active,NULL,NULL,NULL,NULL
SUB_0000025,USR_0000134,starter,annual,10.2,2024-04-27,active,NULL,NULL,NULL,NULL
SUB_0000026,USR_0000139,growth,monthly,36.0,2024-03-17,active,NULL,NULL,NULL,NULL
SUB_0000027,USR_0000141,growth,annual,30.6,2024-03-26,active,NULL,NULL,NULL,NULL
SUB_0000028,USR_0000144,growth,annual,30.6,2024-05-26,active,NULL,NULL,NULL,NULL
SUB_0000029,USR_0000149,growth,annual,30.6,2024-04-14,active,NULL,NULL,NULL,NULL
SUB_0000030,USR_0000153,growth,annual,30.6,2024-02-14,active,NULL,NULL,NULL,NULL
SUB_0000031,USR_0000155,starter,monthly,12.0,2024-07-25,active,NULL,NULL,NULL,NULL
SUB_0000032,USR_0000159,growth,annual,30.6,2024-07-16,active,NULL,NULL,NULL,NULL
SUB_0000033,USR_0000163,starter,annual,10.2,2024-07-21,active,NULL,NULL,NULL,NULL
SUB_0000034,USR_0000166,enterprise,monthly,96.0,2024-03-31,active,NULL,NULL,NULL,NULL
SUB_0000035,USR_0000176,starter,monthly,12.0,2024-07-06,active,NULL,NULL,NULL,NULL
SUB_0000036,USR_0000177,growth,monthly,36.0,2024-05-19,active,NULL,NULL,NULL,NULL
SUB_0000037,USR_0000179,growth,monthly,36.0,2024-07-21,active,NULL,NULL,NULL,NULL
SUB_0000038,USR_0000181,starter,annual,10.2,2024-02-13,active,NULL,NULL,NULL,NULL
SUB_0000039,USR_0000195,starter,annual,10.2,2024-04-29,active,NULL,NULL,NULL,NULL
SUB_0000040,USR_0000198,growth,monthly,36.0,2024-05-22,active,NULL,NULL,NULL,NULL
SUB_0000041,USR_0000217,starter,annual,10.2,2024-07-15,active,NULL,NULL,NULL,NULL
SUB_0000042,USR_0000243,starter,annual,10.2,2024-04-17,active,NULL,NULL,NULL,NULL
SUB_0000043,USR_0000244,starter,monthly,12.0,2024-06-02,churned,2024-09-09,price,NULL,NULL
SUB_0000044,USR_0000254,growth,monthly,36.0,2024-04-30,active,NULL,NULL,NULL,NULL
SUB_0000045,USR_0000270,growth,monthly,36.0,2024-04-05,active,NULL,NULL,NULL,NULL
SUB_0000046,USR_0000273,starter,annual,10.2,2024-06-11,active,NULL,NULL,NULL,NULL
SUB_0000047,USR_0000274,starter,annual,10.2,2024-07-22,active,NULL,NULL,NULL,NULL
SUB_0000048,USR_0000278,growth,annual,30.6,2024-02-08,active,NULL,NULL,NULL,NULL
SUB_0000049,USR_0000279,growth,monthly,36.0,2024-06-06,active,NULL,NULL,NULL,NULL
SUB_0000050,USR_0000287,growth,monthly,36.0,2024-07-23,active,NULL,NULL,NULL,NULL
SUB_0000051,USR_0000290,starter,monthly,12.0,2024-07-08,active,NULL,NULL,NULL,NULL
SUB_0000052,USR_0000293,starter,annual,10.2,2024-06-14,active,NULL,NULL,NULL,NULL
SUB_0000053,USR_0000294,growth,monthly,36.0,2024-05-31,active,NULL,NULL,NULL,NULL
