user_id,signup_date,trial_expires_on,country,acquisition_channel,company_size,industry,user_segment
USR_0000001,2024-05-01,2024-05-15,UK,organic_search,solo,tech,collaborative
USR_0000002,2024-04-03,2024-04-17,India,google_ad,small,marketing,converted
USR_0000003,2024-03-22,2024-04-05,USA,organic_search,mid,consulting,converted
USR_0000004,2024-02-24,2024-03-09,USA,linkedin_ad,large,tech,activated
USR_0000005,2024-02-06,2024-02-20,UK,organic_search,small,marketing,activated
USR_0000006,2024-06-25,2024-07-09,USA,google_ad,small,tech,churned_trial
USR_0000007,2024-05-04,2024-05-18,Singapore,content_marketing,mid,tech,converted
USR_0000008,2024-06-06,2024-06-20,India,google_ad,small,ecommerce,collaborative
USR_0000009,2024-01-23,2024-02-06,USA,content_marketing,large,tech,converted
USR_0000010,2024-06-08,2024-06-22,India,organic_search,small,marketing,churned_trial
USR_0000011,2024-06-04,2024-06-18,India,referral,large,manufacturing,churned_trial
USR_0000012,2024-03-13,2024-03-27,UAE,organic_search,small,tech,churned_trial
USR_0000013,2024-06-26,2024-07-10,USA,organic_search,small,consulting,collaborative
USR_0000014,2024-05-02,2024-05-16,USA,linkedin_ad,mid,marketing,collaborative
USR_0000015,2024-02-27,2024-03-12,India,referral,mid,tech,activated
USR_0000016,2024-05-23,2024-06-06,India,referral,small,consulting,churned_trial
USR_0000017,2024-06-02,2024-06-16,India,content_marketing,small,ecommerce,collaborative
USR_0000018,2024-05-22,2024-06-05,India,referral,small,ecommerce,activated
USR_0000019,2024-06-11,2024-06-25,UK,direct,mid,marketing,collaborative
USR_0000020,2024-06-18,2024-07-02,India,referral,small,tech,churned_trial
USR_0000021,2024-04-26,2024-05-10,India,linkedin_ad,mid,consulting,collaborative
USR_0000022,2024-02-10,2024-02-24,India,organic_search,mid,consulting,collaborative
USR_0000023,2024-05-11,2024-05-25,India,organic_search,small,marketing,churned_trial
USR_0000024,2024-05-21,2024-06-04,USA,referral,small,tech,churned_trial
USR_0000025,2024-06-20,2024-07-04,Singapore,google_ad,mid,tech,converted
USR_0000026,2024-06-15,2024-06-29,USA,linkedin_ad,large,consulting,churned_trial
USR_0000027,2024-03-21,2024-04-04,India,google_ad,small,ecommerce,collaborative
USR_0000028,2024-04-07,2024-04-21,Singapore,direct,large,marketing,converted
USR_0000029,2024-06-19,2024-07-03,USA,content_marketing,solo,tech,collaborative
USR_0000030,2024-06-08,2024-06-22,India,organic_search,solo,tech,collaborative
USR_0000031,2024-05-13,2024-05-27,India,organic_search,mid,consulting,activated
USR_0000032,2024-01-21,2024-02-04,India,content_marketing,solo,ecommerce,activated
USR_0000033,2024-03-26,2024-04-09,UAE,google_ad,mid,ecommerce,activated
USR_0000034,2024-04-11,2024-04-25,India,direct,small,tech,collaborative
USR_0000035,2024-02-08,2024-02-22,India,linkedin_ad,mid,tech,activated
USR_0000036,2024-03-04,2024-03-18,UK,content_marketing,large,tech,collaborative
USR_0000037,2024-05-25,2024-06-08,India,linkedin_ad,mid,ecommerce,activated
USR_0000038,2024-02-26,2024-03-11,USA,referral,solo,tech,collaborative
USR_0000039,2024-01-15,2024-01-29,USA,organic_search,small,marketing,churned_trial
USR_0000040,2024-03-26,2024-04-09,USA,referral,small,consulting,activated
USR_0000041,2024-06-10,2024-06-24,India,google_ad,small,marketing,collaborative
USR_0000042,2024-06-06,2024-06-20,India,referral,small,consulting,collaborative
USR_0000043,2024-01-28,2024-02-11,India,organic_search,small,marketing,collaborative
USR_0000044,2024-03-27,2024-04-10,UAE,organic_search,mid,marketing,collaborative
USR_0000045,2024-06-14,2024-06-28,India,organic_search,solo,ecommerce,churned_trial
USR_0000046,2024-02-18,2024-03-03,India,content_marketing,small,tech,churned_trial
USR_0000047,2024-06-14,2024-06-28,India,direct,mid,ecommerce,activated
USR_0000048,2024-02-15,2024-02-29,India,direct,large,tech,converted
USR_0000049,2024-06-15,2024-06-29,India,organic_search,small,tech,converted
USR_0000050,2024-02-15,2024-02-29,UAE,organic_search,large,manufacturing,activated
USR_0000051,2024-01-27,2024-02-10,USA,google_ad,mid,tech,collaborative
USR_0000052,2024-06-21,2024-07-05,India,organic_search,small,ecommerce,converted
USR_0000053,2024-05-13,2024-05-27,Others,google_ad,mid,ecommerce,converted
USR_0000054,2024-01-02,2024-01-16,India,organic_search,large,marketing,converted
USR_0000055,2024-06-12,2024-06-26,India,referral,large,tech,collaborative
USR_0000056,2024-03-25,2024-04-08,India,organic_search,large,manufacturing,converted
USR_0000057,2024-06-02,2024-06-16,UK,content_marketing,small,manufacturing,activated
USR_0000058,2024-04-03,2024-04-17,India,organic_search,mid,tech,collaborative
USR_0000059,2024-04-22,2024-05-06,India,content_marketing,small,manufacturing,converted
USR_0000060,2024-04-18,2024-05-02,India,linkedin_ad,large,ecommerce,churned_trial
USR_0000061,2024-05-20,2024-06-03,UAE,organic_search,small,ecommerce,collaborative
